"visit_id","customer_id","store_id","product_id","visit_page_date","add_to_cart_date","start_checkout_date","finish_checkout_date","paid_date","discount"
"FF2E087DC944","E4D40F9C3BFA","A7FCFA94C778","produto002","2021-06-30",NULL,NULL,NULL,NULL,-0.16
"B86934462D26","202434D5754A","69128715E6A6","produto025","2021-08-11",NULL,NULL,NULL,NULL,-0.06
"5360358CDBD6","0437338C71BC","71CC76D33BA5","produto003","2021-01-08",NULL,NULL,NULL,NULL,-0.17
"7BFD9D960751","715C9E8C69C7","83D22F1A42CF","produto026","2021-08-02","2021-08-02","2021-08-05","2021-08-05","2021-08-05",-0.08
"A119CD2C2D4C","21379F9BBF3E","0FD755FC6E8F","produto027","2021-04-14",NULL,NULL,NULL,NULL,-0.03
"1B69E1CB506B","7D2B29472E6D","C5A6769AE3F4","produto021","2021-07-05","2021-07-05",NULL,NULL,NULL,-0.01
"49FA828987B6","0A43DCD7AB8D","B06DF477008E","produto028","2021-05-26",NULL,NULL,NULL,NULL,-0.13
"17095812CDB4","B9E466CBDCBF","FF2BEBABAFFE","produto029","2020-11-27",NULL,NULL,NULL,NULL,-0.04
"AA268431C690","C23C90A8BFFB","5F026F55CC8D","produto030","2021-08-24",NULL,NULL,NULL,NULL,-0.13
"C7D6B57E8BB0","BEDD88C4026E","FC105737FE0A","produto028","2021-07-19","2021-07-19",NULL,NULL,NULL,-0.05
"AEF1CF006A93","53BBC9A94263","832FD2EAA33E","produto013","2021-08-13","2021-08-13",NULL,NULL,NULL,-0.08
"DA269A9BE91F","6D11FFE478DE","818B71F918C6","produto031","2021-08-19",NULL,NULL,NULL,NULL,-0.06
"A83982979C15","1465C7114614","FF2BEBABAFFE","produto032","2021-08-03","2021-08-03",NULL,NULL,NULL,-0.14
"3D229E57D5E7","D4EC678A1679","449E7D1BBBC9","produto033","2020-10-27",NULL,NULL,NULL,NULL,-0.18
"B456AF35E02C","1E494B1410A1","1AC38C457FDE","produto025","2021-07-24","2021-07-24","2021-07-27","2021-07-27","2021-07-27",-0.01
"1E81B40DC534","5E91CD4BD1DB","23292D52E5CC","produto018","2021-07-29",NULL,NULL,NULL,NULL,-0.2
"36F0FB1A7C65","2B61B9607C8B","C13C1FB03F9D","produto034","2020-11-26",NULL,NULL,NULL,NULL,-0.59
"9F416BECB530","D32B01BFE8D9","8DC040934F19","produto035","2021-07-13","2021-07-13",NULL,NULL,NULL,-0.07
"303534568E7C","992C017596CE","A7FCFA94C778","produto003","2021-07-07","2021-07-07",NULL,NULL,NULL,-0.18
"294346379188","8B0BDD71EB97","03CCE616AE84","produto025","2020-12-12",NULL,NULL,NULL,NULL,-0.28
"9166E503E33A","2B6E04A18764","944099FD9A29","produto021","2021-08-19","2021-08-19",NULL,NULL,NULL,-0.21
"0D41B3FDE0F8","8E3911A75407","50441D4F27E9","produto002","2021-07-17","2021-07-17","2021-07-22","2021-07-23","2021-07-23",-0.19
"9A7622739069","00B210ED681B","F4CBEB74AA75","produto036","2021-06-23",NULL,NULL,NULL,NULL,0
"64A3A000204C","3C1F670A611C","64420383E0EC","produto037","2021-01-26","2021-05-17","2021-05-25","2021-05-26","2021-05-26",-0.26
"2FC3F6673CFB","C97F65E91BEE","C2E40FCEB847","produto038","2021-03-12","2021-03-12",NULL,NULL,NULL,-0.21
"3F583A22413B","C7ABF1131EAB","C2E40FCEB847","produto006","2021-08-05","2021-08-05",NULL,NULL,NULL,-0.33
"1F293F9B366E","6C609EF10574","DCC4BE132109","produto005","2021-05-12","2021-05-12",NULL,NULL,NULL,-0.14
"8B4D362EB097","C8F915BA3531","F2269F9EFDF0","produto039","2021-08-13",NULL,NULL,NULL,NULL,-0.13
"1810F632B9B0","B1571A7C773C","8FD8D7CD8CB1","produto018","2020-11-07","2020-11-07",NULL,NULL,NULL,-0.24
"214EA71445C2","E71DB3AFE8C9","1639F0C296A7","produto002","2021-04-23","2021-04-23",NULL,NULL,NULL,-0.29
"90AFEB4E032E","7D02B583F743","1010AD5B206B","produto040","2021-06-11",NULL,NULL,NULL,NULL,-0.09
"17A175BC0624","195E2CD33E2D","FF2BEBABAFFE","produto005","2020-10-14","2020-10-14",NULL,NULL,NULL,-0.16
"7D4250F1EEC1","C36EFF17D5C8","9A0BFC554E31","produto041","2020-10-28","2020-10-28","2020-10-28","2020-10-28","2020-10-29",-0.14
"E876ED225071","8FA6B834248D","5EA23FF62282","produto042","2021-08-26","2021-08-26","2021-08-27","2021-08-27","2021-08-27",-0.03
"D4FE2FA70321","4E94FF691FE3","A00E6E06AC25","produto010","2021-04-19",NULL,NULL,NULL,NULL,-0.13
"FA26E1AC9D1B","17F81D20722B","70FD22D19CA1","produto018","2021-07-19",NULL,NULL,NULL,NULL,-0.03
"AF12AF6D6F73","1E7E14892F7C","8E5A8314ABD7","produto019","2020-12-16",NULL,NULL,NULL,NULL,-0.07
"85D5357A187C","1D4987ABD065","6AB14959A16E","produto031","2021-07-20",NULL,NULL,NULL,NULL,-0.27
"3C0629D2476F","B574FBA0D4EC","9DEFB94D6DEF","produto005","2021-07-13",NULL,NULL,NULL,NULL,-0.02
"23B841FE97F9","39A91D658448","408D3A7F1887","produto043","2021-05-18","2021-05-18","2021-05-20","2021-05-20","2021-05-21",-0.11
"4BAB1335FA6E","A01CE0460C23","BEF81417F66A","produto022","2020-12-04",NULL,NULL,NULL,NULL,-0.2
"52B494DED1CC","DDFD026BC732","2F7CA42F7860","produto006","2021-06-17","2021-06-17",NULL,NULL,NULL,-0.05
"22DDBF55A474","B65A27A94508","D44E57FB3251","produto044","2021-08-24",NULL,NULL,NULL,NULL,-0.02
"B3523530EC60","9E674820553C","0A822A0B51E0","produto032","2021-08-24",NULL,NULL,NULL,NULL,-0.03
"9F6864D94A6C","4CE1FD09A931","23292D52E5CC","produto002","2021-07-15",NULL,NULL,NULL,NULL,-0.32
"F1926AFAC9A9","48CBA0A17D6A","1B1ED006171D","produto006","2021-07-21","2021-07-21",NULL,NULL,NULL,-0.27
"A847372FB18F","8CD31BF4983A","8EBE96184B46","produto013","2021-06-01","2021-06-01",NULL,NULL,NULL,-0.33
"CAFDE021228D","25A4BD5D7BB4","C55F60EB99E4","produto045","2021-03-10",NULL,NULL,NULL,NULL,-0.17
"AD9303C8FC83","503C8E361A64","17A40810710E","produto002","2021-08-16","2021-08-16",NULL,NULL,NULL,-0.01
"D589D399660B","811D0350EC63","F54AAEA697CC","produto046","2021-07-03","2021-07-03",NULL,NULL,NULL,-0.02
"1343640BF381","766DD81D679A","4AC111D935B0","produto007","2021-04-23",NULL,NULL,NULL,NULL,-0.21
"71B178FA8BA4","8D59FF9962F2","4ED9881123C1","produto022","2020-12-05",NULL,NULL,NULL,NULL,-0.23
"DFED43EE253B","F42585BEA96C","275BE3A41E3B","produto003","2021-06-22","2021-06-22",NULL,NULL,NULL,-0.28
"53959D741C8A","F9EE9BB9C18D","186D36CEDF2F","produto047","2021-07-21",NULL,NULL,NULL,NULL,-0.53
"A7600814430D","B1D3CC2003FF","66BEC07B64F8","produto024","2021-05-27","2021-05-27",NULL,NULL,NULL,-0.14
"09870DFB7937","6E3464C56D8F","DF9B4E771532","produto006","2021-04-13",NULL,NULL,NULL,NULL,-0.03
"12538AE5AA8C","8D823422FB2D","1639F0C296A7","produto048","2021-04-28","2021-04-28","2021-05-05","2021-05-06","2021-05-10",-0.24
"65B91D391D3C","B178E21364E7","F595D4B9869B","produto022","2021-07-28","2021-07-28",NULL,NULL,NULL,-0.09
"BD0542D2F23C","2C39D7885DFB","70FD22D19CA1","produto049","2021-04-30","2021-04-30",NULL,NULL,NULL,-0.21
"474372875DA1","318DEE1D57FD","A84A373904D4","produto005","2021-08-26","2021-08-26","2021-08-27","2021-08-27","2021-08-27",-0.13
"FD5737A23467","90DB7601D2D5","1B1ED006171D","produto019","2021-06-10","2021-06-10",NULL,NULL,NULL,-0.09
"6AA90596B539","6FB1CAF80A4B","918397302DFE","produto050","2021-06-25","2021-06-25",NULL,NULL,NULL,-0.07
"1DA11F7798FA","DC82B5EEE067","57C9EA8C0D1C","produto038","2020-12-02","2020-12-02",NULL,NULL,NULL,-0.04
"26D9AEC79D39","2525146B7C29","902464BABF44","produto051","2021-04-28","2021-04-28",NULL,NULL,NULL,-0.15
"03F8A548E97F","FAFE41D71061","4718EA9B4B1F","produto018","2021-07-15","2021-07-15",NULL,NULL,NULL,-0.15
"B72DCF59FD1C","DDB95F70F790","2AD6E02C075E","produto049","2021-04-22",NULL,NULL,NULL,NULL,-0.35
"C1E69F1DEE71","41510FEE329A","52E1B1208453","produto052","2021-06-18","2021-06-18",NULL,NULL,NULL,-0.12
"085D06521CE8","8016DA196B91","9FA44C56D635","produto040","2021-07-19","2021-07-19","2021-08-05","2021-08-05","2021-08-05",-0.08
"A30268286A3C","0B31EEB726FF","841DFEA449B3","produto038","2021-04-27","2021-04-27",NULL,NULL,NULL,-0.26
"7D7079AA1D66","14A9AE544043","CDBF2D8A11BE","produto033","2021-07-23","2021-07-23",NULL,NULL,NULL,-0.21
"C23F31C19221","A70A75B409D5","1DE4E5A259B3","produto031","2021-02-05",NULL,NULL,NULL,NULL,-0.02
"9F4C8B724166","91C54E7117C4","FE23DE66562D","produto053","2021-05-28",NULL,NULL,NULL,NULL,-0.1
"2A3D4A91484C","A52F2F117E6C","3DCF8700A85B","produto016","2020-11-18","2020-11-18",NULL,NULL,NULL,-0.09
"1E57746AF5EB","B9203200A436","ABBFF2284F9A","produto031","2021-04-01","2021-04-01",NULL,NULL,NULL,-0.12
"D5F1EF65AD7A","E385054F7D09","8DFAE7673BED","produto054","2021-06-02","2021-06-02",NULL,NULL,NULL,-0.16
"7870F4D88325","830532BA410F","4A251C5178E1","produto043","2020-11-17","2020-11-17",NULL,NULL,NULL,-0.01
"CA76D762B66F","E624470FB92E","71CC76D33BA5","produto025","2021-03-11",NULL,NULL,NULL,NULL,-0.21
"63E200ED67DD","8DAA31BBA135","64358DFC8E72","produto005","2021-04-07","2021-04-07",NULL,NULL,NULL,-0.35
"553738C04908","E0AD3E0462A2","A60BAA68F2F6","produto027","2021-06-23",NULL,NULL,NULL,NULL,-0.25
"53649A93E68B","02CCF5181CF1","22779A3F3795","produto055","2021-05-18","2021-05-18","2021-05-19","2021-05-26","2021-05-27",-0.17
"35E7D82E4F49","25DD1144B703","7C03F2B29879","produto001","2020-10-27","2020-10-27",NULL,NULL,NULL,-0.3
"7AF920FE7871","81F3EB9899EF","C156438903FD","produto004","2021-08-30","2021-08-30",NULL,NULL,NULL,-0.12
"DEF3A418BDAB","730FE345340F","B0D9AE49157B","produto010","2021-06-12",NULL,NULL,NULL,NULL,-0.16
"4CED5CEA4D22","767BBA816DFE","5F7CAC627672","produto038","2021-03-24","2021-03-24",NULL,NULL,NULL,-0.27
"F6BA3DC025CF","B3CE1774BE23","2A20ABE5B2B8","produto018","2021-06-08",NULL,NULL,NULL,NULL,-0.17
"A9B2ED107B4A","07345DD09E8D","BEAEE56F69D9","produto056","2021-07-05","2021-07-05",NULL,NULL,NULL,-0.12
"13E0CE130304","0C699A426317","4DEDFDC89DE8","produto057","2021-06-02","2021-06-02",NULL,NULL,NULL,0
"0FFA0CE88CAB","973E8F5918BD","4F62E30A1DDA","produto008","2021-01-26","2021-03-03",NULL,NULL,NULL,-0.28
"377A40BB9687","2ED104936B12","E52DD24FA037","produto008","2021-01-21",NULL,NULL,NULL,NULL,-0.15
"153403DE6AC4","48D21EDCF22A","30EA033D2E55","produto058","2021-05-23",NULL,NULL,NULL,NULL,-0.17
"E9034D93AE26","6C40A796AE26","B043CECCC20F","produto059","2021-05-26","2021-05-26",NULL,NULL,NULL,-0.03
"98A27C92CE22","E726F9FA1330","89C7816BB457","produto060","2021-06-18","2021-06-18",NULL,NULL,NULL,-0.11
"9727FB715BB4","BC72F52C2492","7C759690C7B5","produto005","2021-03-25","2021-03-25",NULL,NULL,NULL,-0.17
"D37E2176BCF9","2D86E89C647D","075EBC5ACBAB","produto037","2021-06-16","2021-06-16","2021-06-17","2021-06-17","2021-06-18",-0.29
"AAED16CF5B75","7D2B29472E6D","B06DF477008E","produto021","2021-07-28","2021-07-28",NULL,NULL,NULL,-0.18
"585F30A9C442","0D64836D3AC7","23F9A8F32C00","produto024","2021-05-19","2021-05-19",NULL,NULL,NULL,-0.19
"C1971A6E869D","A1C9943C9C09","E1C6CE994F16","produto024","2021-04-27","2021-04-27",NULL,NULL,NULL,-0.16
"A912510AB312","DCF3D7B3DE12","93C2708C578C","produto011","2021-08-05","2021-08-05","2021-08-06","2021-08-16","2021-08-16",-0.27
"9C6BDFFBB13F","276FF2031EFE","E52DD24FA037","produto007","2021-08-10","2021-08-10",NULL,NULL,NULL,-0.15
"537B87F11E67","42DDE4956CAE","30FA416B0884","produto016","2021-02-23",NULL,NULL,NULL,NULL,-0.04
"99E5FD6836D5","2CEE94DECEBD","8CF643C5D887","produto025","2021-06-22","2021-06-22",NULL,NULL,NULL,-0.22
"94079F77E0A1","4115F4AD6453","1F7A9479AE6F","produto005","2021-05-07","2021-05-07",NULL,NULL,NULL,-0.27
"06096F3672EC","9CA0F581FB5F","80A2F112561D","produto015","2021-07-09",NULL,NULL,NULL,NULL,-0.21
"6B392F5A81AD","C7404E73C7FA","1B1ED006171D","produto038","2021-07-06","2021-07-06",NULL,NULL,NULL,-0.29
"25E05B243E09","5A1876DAC992","7EE6DF53D716","produto061","2021-06-21","2021-06-21",NULL,NULL,NULL,-0.13
"A99D6614D091","A30B40367A48","BEB3D463B15A","produto018","2021-05-26","2021-05-26",NULL,NULL,NULL,-0.26
"1BE5227D1554","666620CE839D","C2E40FCEB847","produto015","2021-02-02","2021-08-04",NULL,NULL,NULL,-0.33
"E224B6F35822","3596E6923DB9","80A2F112561D","produto030","2021-05-25","2021-05-25",NULL,NULL,NULL,-0.07
"88F986A5BA56","D1A36DE1EA4E","9372D332ACE3","produto053","2021-08-31",NULL,NULL,NULL,NULL,-0.16
"7CAA84DCF9CE","CC277D86F7B9","DC77AC31B541","produto021","2021-03-18",NULL,NULL,NULL,NULL,-0.2
"E4F4844BE752","831AC8C59DBC","2AD0C13E3998","produto047","2021-03-23","2021-03-23",NULL,NULL,NULL,-0.12
"E6158AD9F4B0","AD320EA58D45","4ED9881123C1","produto042","2021-07-24","2021-07-24","2021-07-29",NULL,NULL,-0.07
"7CA83937A8CB","3721F8497B4F","875D6E2F33D9","produto028","2021-04-27",NULL,NULL,NULL,NULL,-0.17
"E5E7C4078854","319416107D79","C2E40FCEB847","produto062","2021-06-09",NULL,NULL,NULL,NULL,-0.13
"7409CDEC03A4","345762321BC4","832FD2EAA33E","produto002","2021-05-12",NULL,NULL,NULL,NULL,-0.08
"6EF0404A46B3","F7FC53658093","D40C552CED19","produto013","2021-07-20","2021-07-20","2021-07-21","2021-07-21","2021-07-21",-0.06
"0C65D7B28290","7F317BC7BE01","F0AED731FCC0","produto062","2021-06-01",NULL,NULL,NULL,NULL,-0.12
"54635D77908A","C58699051988","A35199D200DB","produto018","2021-07-29",NULL,NULL,NULL,NULL,-0.13
"D174F3377C8F","FC57EBE1D4B2","1ACBB72B67F3","produto063","2021-07-08","2021-07-08",NULL,NULL,NULL,-0.4
"4CB7AB941D8F","AD34EC0C4C41","3DCF8700A85B","produto058","2021-04-16","2021-04-16",NULL,NULL,NULL,-0.18
"D2562322C8E5","EF38D0736A93","65B68766F1EB","produto038","2021-07-12","2021-07-12",NULL,NULL,NULL,-0.51
"345E05B026F7","889AD19B7B4F","41B784638C98","produto044","2021-04-10",NULL,NULL,NULL,NULL,-0.2
"7CAB23B1D832","8CA7B3AF6FFD","A797A3AD152C","produto064","2020-12-05",NULL,NULL,NULL,NULL,-0.19
"A305F0F3969C","F5369384416F","73CD043CB88B","produto058","2020-12-01","2020-12-01",NULL,NULL,NULL,-0.04
"5B30E019DB51","835FF748D2C9","A60BAA68F2F6","produto022","2021-07-20","2021-07-20",NULL,NULL,NULL,-0.14
"AAC92A0A3905","9C020575CE0B","32EF48F0F996","produto065","2021-08-16","2021-08-16",NULL,NULL,NULL,-0.05
"00089D6B21B3","EBA29DF84BF1","A9865347F727","produto062","2021-08-11","2021-08-11",NULL,NULL,NULL,-0.17
"BCDF66723F93","500419E8614E","4AD8E09683EE","produto015","2021-08-11",NULL,NULL,NULL,NULL,-0.14
"AC48FF8E07DD","386D78447302","30EA033D2E55","produto022","2021-03-13",NULL,NULL,NULL,NULL,-0.22
"2C16F883C1E4","545AE3B4E2DB","7C759690C7B5","produto028","2021-06-04","2021-06-04",NULL,NULL,NULL,-0.01
"573975F68A56","F896CC31D877","9D982F990055","produto066","2021-05-04",NULL,NULL,NULL,NULL,-0.04
"DF889D97AE51","3B019278D82E","8EBE96184B46","produto002","2020-10-23",NULL,NULL,NULL,NULL,-0.19
"4C26D4B9963D","99082633B240","42E999A136C7","produto010","2021-06-08","2021-06-08",NULL,NULL,NULL,-0.11
"F6A6D75C9FAD","8A4A906427F3","805C5D310C3E","produto059","2021-08-27","2021-08-27",NULL,NULL,NULL,-0.06
"434EC968C308","BD4F37482958","F8365CC9A20C","produto022","2021-06-30","2021-06-30","2021-07-01","2021-07-02","2021-07-02",-0.2
"E2D4BC097389","119BEB5595A7","CA689F996B26","produto003","2021-07-07","2021-07-07","2021-07-23","2021-07-23","2021-07-23",-0.32
"691C170140EA","A9B4FE34ACB7","0B0610766315","produto044","2021-01-30","2021-01-30",NULL,NULL,NULL,-0.04
"BF11684BA33E","CBB2007ADCAA","832FD2EAA33E","produto025","2021-08-13",NULL,NULL,NULL,NULL,-0.12
"52F65BDED1AA","2A6A90712638","A63E8509ED8B","produto009","2021-05-04","2021-05-04",NULL,NULL,NULL,-0.13
"0838FE13E8EC","5214A8DB758D","70FD22D19CA1","produto048","2021-04-27","2021-04-27",NULL,NULL,NULL,-0.17
"B0971E241422","DB96263C92E0","2695629FD11A","produto009","2021-07-24","2021-07-24",NULL,NULL,NULL,-0.16
"7422A7E70444","165B71DE7337","9FDF7A1EE78E","produto067","2021-03-24","2021-04-22",NULL,NULL,NULL,-0.24
"E66E438E1A50","A1FDEAD5540A","2F7B1DD360E8","produto068","2021-05-27","2021-05-27","2021-06-01","2021-06-01","2021-06-01",-0.04
"0AEBD848C8FD","4A64EEB775DF","8DE6DCBC6640","produto013","2021-05-17","2021-05-17",NULL,NULL,NULL,-0.16
"F3E4ADC38267","AE1FE43DD58D","248BB1F20E8A","produto069","2021-06-17","2021-06-17","2021-06-18","2021-06-18","2021-06-18",-0.18
"14E5BF116B31","3BDDF708564C","BB7FD7EEECAD","produto021","2021-01-23",NULL,NULL,NULL,NULL,-0.2
"68F3925A0090","40BC49698392","F0AED731FCC0","produto009","2021-04-30","2021-04-30",NULL,NULL,NULL,-0.28
"0C20BAF6A7E0","3D4BBC7E1D15","1B1ED006171D","produto028","2021-07-29","2021-07-29",NULL,NULL,NULL,-0.17
"432181F8E7EB","5886FF33B1C5","F5AD0F6A59EE","produto031","2021-02-05","2021-02-05",NULL,NULL,NULL,-0.12
"A46E6DBB24CD","FA25DB22BD56","F2269F9EFDF0","produto070","2021-03-25",NULL,NULL,NULL,NULL,-0.17
"DE96965C0669","651B08D5606F","F0AED731FCC0","produto071","2021-07-22","2021-07-22",NULL,NULL,NULL,-0.04
"9455A9E30A66","9772810D556C","93B6AD5691CA","produto016","2021-08-20","2021-08-20",NULL,NULL,NULL,-0.29
"ADD270D0E5BD","13B55AAB5201","6298BBED4C03","produto072","2021-08-24","2021-08-24",NULL,NULL,NULL,-0.05
"B42CAC407924","2C404A6844AC","BC69B15DAD5E","produto073","2021-07-13","2021-07-13","2021-08-03","2021-08-04","2021-08-04",-0.11
"D959869C0083","4F8C33F6402E","1F7A9479AE6F","produto006","2021-06-23","2021-06-23",NULL,NULL,NULL,-0.11
"6016E33CD89D","C5C51B47CBB6","CFC385244024","produto059","2021-06-22","2021-06-22",NULL,NULL,NULL,-0.16
"48460E39D515","E142750ECC61","FD01D570AEBA","produto024","2021-07-26","2021-07-26","2021-07-29","2021-07-29","2021-07-29",-0.03
"4FEBE16EAF66","682153616D3F","606D222D3E77","produto018","2021-03-23","2021-03-23",NULL,NULL,NULL,-0.22
"041AC55B82ED","F655C270A234","1639F0C296A7","produto074","2021-06-24",NULL,NULL,NULL,NULL,-0.05
"0CEB373F1A59","76C08554CFD5","AC535BDDE1BE","produto075","2021-07-12",NULL,NULL,NULL,NULL,-0.14
"72E5BD94C952","8B21BEE157E5","E39F3FA93292","produto033","2021-05-31","2021-05-31","2021-06-01","2021-06-02","2021-06-02",-0.1
"3F7D54D8FD72","3801CD7CDCA1","BB58D1F00DDB","produto006","2021-08-02",NULL,NULL,NULL,NULL,-0.45
"D2370158C25F","8387AAD1AC66","1B1ED006171D","produto071","2021-07-26","2021-07-26",NULL,NULL,NULL,-0.14
"1895B5E5CA4E","5D110B69C61F","2117265151D7","produto076","2021-06-15",NULL,NULL,NULL,NULL,-0.31
"71D59530D0A5","2F9FF0ED55AC","1C3762B89900","produto077","2021-07-24","2021-07-24",NULL,NULL,NULL,-0.13
"963216C41863","BD1E0A271242","9F1AF4B92CF3","produto021","2021-01-14",NULL,NULL,NULL,NULL,-0.14
"33CC3A44C17C","7D27F18ECA0C","D1EBBC13F114","produto047","2021-08-17","2021-08-17",NULL,NULL,NULL,-0.15
"064FC8F14ED8","7E5D070841CD","BF580E604866","produto002","2021-08-17",NULL,NULL,NULL,NULL,-0.16
"ECCA472B5227","F6F6FE6A9E55","DF66CD2ADEA7","produto002","2020-11-04","2020-11-04",NULL,NULL,NULL,-0.11
"191799B723A2","59A0DC1A3A34","449E7D1BBBC9","produto078","2021-07-07",NULL,NULL,NULL,NULL,-0.16
"633839F150F0","C0054A045953","449E7D1BBBC9","produto010","2020-11-09",NULL,NULL,NULL,NULL,-0.16
"A7C1A83B240B","467A3E4FC4AF","F35AA443EFED","produto016","2021-06-21","2021-06-21",NULL,NULL,NULL,-0.39
"99626ACC1E27","4F7AB69FD193","80BD9AE7D444","produto001","2021-07-21","2021-07-21",NULL,NULL,NULL,-0.23
"1640CCC9DDBD","39D4DE9593F2","8BB2529E1694","produto027","2021-08-04","2021-08-04",NULL,NULL,NULL,-0.32
"56D37AE42C4A","905E937145C6","A7FCFA94C778","produto016","2021-07-27",NULL,NULL,NULL,NULL,-0.21
"7205384B845A","F0923C413DB5","41B784638C98","produto079","2021-05-31","2021-05-31",NULL,NULL,NULL,-0.12
"AC6B0BCB2111","860270E7251A","B06DF477008E","produto019","2021-08-17","2021-08-17",NULL,NULL,NULL,-0.08
"8494598BA5B6","504280DA40BE","8BB2529E1694","produto006","2021-06-22",NULL,NULL,NULL,NULL,-0.04
"69E82AC13CC6","8F7B654E4993","A00E6E06AC25","produto024","2021-06-16","2021-06-16",NULL,NULL,NULL,-0.16
"C42BD173C60B","0667C04B55D4","2D0BCDC444DA","produto001","2021-06-16",NULL,NULL,NULL,NULL,-0.22
"1F11A78F16F1","730902A0982B","4AD8E09683EE","produto025","2021-03-09","2021-03-09",NULL,NULL,NULL,-0.22
"F68694EB763B","5F11EBF7AF1F","FBF6A60BCF40","produto025","2021-08-09",NULL,NULL,NULL,NULL,-0.14
"FB8F731D7E9C","5457CED1BE30","7755E3C77FA7","produto008","2021-08-20",NULL,NULL,NULL,NULL,-0.04
"21C551C860FD","B70B016B31F7","BAD080CECA22","produto042","2021-01-06",NULL,NULL,NULL,NULL,-0.2
"6D9D6F328A1A","C5FCF40DF6E9","E2779A4FBB62","produto006","2021-06-08","2021-06-08","2021-06-08","2021-06-09","2021-06-10",-0.1
"9536A4773033","355DBCA66B69","EBEF71A348A9","produto029","2021-08-04",NULL,NULL,NULL,NULL,-0.02
"B187019DD61F","B5C5C2E8F0FF","B21C38BF20C9","produto010","2021-05-04",NULL,NULL,NULL,NULL,-0.03
"57F137F9C436","E045ED7D57F5","6A967CA95AFB","produto070","2021-07-08","2021-08-16",NULL,NULL,NULL,-0.07
"3D2C11D009C2","64DEAD83F5F8","D0CBCF9BE544","produto037","2021-07-17",NULL,NULL,NULL,NULL,-0.15
